family,run_id,experiment_id,dataset_id,fold,selector,feature_count_requested,model,embedding_source,development_feature_count,final_feature_count,development_max_length,final_max_length,development_train_mean_effective_length,development_validation_mean_effective_length,final_train_mean_effective_length,test_mean_effective_length,parameter_count_development,trainable_parameter_count_development,best_epoch,epochs_completed,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,development_feature_selection_seconds,final_feature_selection_seconds,embedding_matrix_seconds,development_training_seconds,final_training_seconds,test_inference_seconds,inner_train_indices_sha256,validation_indices_sha256,outer_train_indices_sha256,test_indices_sha256,development_vocabulary_sha256,final_vocabulary_sha256,development_graph_nodes,final_graph_nodes,development_positive_pmi_pairs,final_positive_pmi_pairs,development_windows,final_windows,development_graph_seconds,final_graph_seconds,development_graph_sha256,final_graph_sha256,peak_gpu_memory_mb,development_mean_wordpiece_length,validation_mean_wordpiece_length,final_mean_wordpiece_length,test_mean_wordpiece_length
classic,20ng_fold0_df_random_lstm,formal_classic_main_v1_shard1,20ng,0,df,1000,random_lstm,random,1000,1000,200,200,115.90532544378698,118.76470588235294,116.31320754716981,119.49746192893402,290108,290108,57,82,0.23529411764705882,0.2142444075532311,0.2425,0.15736040609137056,0.13907035639462614,0.144491341991342,0.17120940000313567,0.15604069999972126,1.5000005078036338e-06,52.5532936999989,36.283533999998326,0.030703700002050027,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,ebbe9cfffb39e8af6aaa51fed5d53ece764ba85970d922b642575e6ef0f8a70b,701a00e571895e852874c1dc6e9969888bec06337baaa4a46601f628779d63bb,,,,,,,,,,,,,,,
classic,20ng_fold0_df_fasttext_lstm,formal_classic_main_v1_shard1,20ng,0,df,1000,fasttext_lstm,fasttext_cc_en_100,1000,1000,200,200,115.90532544378698,118.76470588235294,116.31320754716981,119.49746192893402,290108,290108,61,86,0.20168067226890757,0.19667524426038357,0.19726190476190475,0.2131979695431472,0.20914405106641612,0.21159812409812412,0.17120940000313567,0.15604069999972126,0.009917799998220289,48.66103899999871,38.732042999999976,0.025791199997911463,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,ebbe9cfffb39e8af6aaa51fed5d53ece764ba85970d922b642575e6ef0f8a70b,701a00e571895e852874c1dc6e9969888bec06337baaa4a46601f628779d63bb,,,,,,,,,,,,,,,
classic,20ng_fold0_ig_random_wa,formal_classic_main_v1_shard1,20ng,0,ig,1000,random_wa,random,1000,1000,200,200,105.80621301775147,109.60504201680672,102.48301886792453,106.55837563451777,102220,102220,163,188,0.47058823529411764,0.46786973647267766,0.4753571428571428,0.5786802030456852,0.5593072999275045,0.5671861471861472,0.18089550000149757,0.1960655000002589,9.499999578110874e-06,10.14449980000063,12.346141400001216,0.004817600001842948,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,4586c3309b011b1d324ff385b8c7322569bbb6ab65dc42330772ed93fc7b85e3,56d070cf9be91d2a86c33c4bb3612ff347c318e7be359d42aee091d5816e2c0c,,,,,,,,,,,,,,,
classic,20ng_fold0_ig_fasttext_wa,formal_classic_main_v1_shard1,20ng,0,ig,1000,fasttext_wa,fasttext_cc_en_100,1000,1000,200,200,105.80621301775147,109.60504201680672,102.48301886792453,106.55837563451777,102220,102220,92,117,0.6050420168067226,0.6047718621248033,0.6090476190476191,0.6243654822335025,0.6057409726376625,0.6121158008658009,0.18089550000149757,0.1960655000002589,0.011521000000357162,8.483417100000224,7.371682000000874,0.004917100002785446,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,4586c3309b011b1d324ff385b8c7322569bbb6ab65dc42330772ed93fc7b85e3,56d070cf9be91d2a86c33c4bb3612ff347c318e7be359d42aee091d5816e2c0c,,,,,,,,,,,,,,,
classic,20ng_fold0_ig_random_cnn,formal_classic_main_v1_shard1,20ng,0,ig,1000,random_cnn,random,1000,1000,200,200,105.80621301775147,109.60504201680672,102.48301886792453,106.55837563451777,196520,196520,39,64,0.5210084033613446,0.4863095238095238,0.52,0.5177664974619289,0.5006553899466473,0.5012716450216451,0.18089550000149757,0.1960655000002589,1.0000003385357559e-06,11.914359300000797,7.992062499997701,0.006858100001409184,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,4586c3309b011b1d324ff385b8c7322569bbb6ab65dc42330772ed93fc7b85e3,56d070cf9be91d2a86c33c4bb3612ff347c318e7be359d42aee091d5816e2c0c,,,,,,,,,,,,,,,
classic,20ng_fold0_ig_fasttext_cnn,formal_classic_main_v1_shard1,20ng,0,ig,1000,fasttext_cnn,fasttext_cc_en_100,1000,1000,200,200,105.80621301775147,109.60504201680672,102.48301886792453,106.55837563451777,196520,196520,29,54,0.5630252100840336,0.5613844488844488,0.5628571428571428,0.5685279187817259,0.5592882806608745,0.566338383838384,0.18089550000149757,0.1960655000002589,0.011639600001217332,9.886697300000378,5.9067432999981975,0.007207300001027761,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,4586c3309b011b1d324ff385b8c7322569bbb6ab65dc42330772ed93fc7b85e3,56d070cf9be91d2a86c33c4bb3612ff347c318e7be359d42aee091d5816e2c0c,,,,,,,,,,,,,,,
classic,20ng_fold0_ig_random_lstm,formal_classic_main_v1_shard1,20ng,0,ig,1000,random_lstm,random,1000,1000,200,200,105.80621301775147,109.60504201680672,102.48301886792453,106.55837563451777,290108,290108,39,64,0.20168067226890757,0.18498583288056974,0.19809523809523807,0.25380710659898476,0.23468559656717553,0.24840367965367963,0.18089550000149757,0.1960655000002589,1.2999989849049598e-06,36.60840359999929,27.38682929999777,0.025096100001974264,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,4586c3309b011b1d324ff385b8c7322569bbb6ab65dc42330772ed93fc7b85e3,56d070cf9be91d2a86c33c4bb3612ff347c318e7be359d42aee091d5816e2c0c,,,,,,,,,,,,,,,
classic,20ng_fold0_ig_fasttext_lstm,formal_classic_main_v1_shard1,20ng,0,ig,1000,fasttext_lstm,fasttext_cc_en_100,1000,1000,200,200,105.80621301775147,109.60504201680672,102.48301886792453,106.55837563451777,290108,290108,31,56,0.29411764705882354,0.2852122877122877,0.3071428571428571,0.20304568527918782,0.19742164105515095,0.21137626262626266,0.18089550000149757,0.1960655000002589,0.01014519999807817,35.19276440000249,21.44895120000001,0.031539200001134304,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,4586c3309b011b1d324ff385b8c7322569bbb6ab65dc42330772ed93fc7b85e3,56d070cf9be91d2a86c33c4bb3612ff347c318e7be359d42aee091d5816e2c0c,,,,,,,,,,,,,,,
classic,20ng_fold0_dfs_random_wa,formal_classic_main_v1_shard1,20ng,0,dfs,1000,random_wa,random,1000,1000,200,200,30.33431952662722,32.90756302521008,31.535849056603773,30.700507614213198,102220,102220,45,70,0.5378151260504201,0.5028654923507865,0.5270238095238095,0.5685279187817259,0.5610125640642882,0.5607431457431458,0.16283459999976913,0.18113520000042627,2.2999993234407157e-06,4.551977200000692,3.497527399998944,0.004625999998097541,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,594c2b9d6fa4d570c56f540d7828733b59099534b4a246db0f8d4c594bf4f039,fcaf055fea4a95cac866b0d657529f43d8b639c28c15821241b3402b4791fa6e,,,,,,,,,,,,,,,
classic,20ng_fold0_dfs_fasttext_wa,formal_classic_main_v1_shard1,20ng,0,dfs,1000,fasttext_wa,fasttext_cc_en_100,1000,1000,200,200,30.33431952662722,32.90756302521008,31.535849056603773,30.700507614213198,102220,102220,42,67,0.5714285714285714,0.5546320346320346,0.5636904761904763,0.6852791878172588,0.6753187600469548,0.6785515873015873,0.16283459999976913,0.18113520000042627,0.013987899998028297,4.812081700001727,3.30696750000061,0.004617400001734495,f430fd58e4bfa67564a8f2035240ce41becd2383b678b3529d11b1db3c931d1f,c649248106c5aa0b29df7007c0d7b542ef8e12c3c4433d85ede6dff982fba08b,7556b2d40371aaa24deba5cf78dcbfaddb8e0f17569ec1999d87788bb8c92742,5da05bc2be36f4679185727cf550133365c10da08805479623aa520c092b7c40,594c2b9d6fa4d570c56f540d7828733b59099534b4a246db0f8d4c594bf4f039,fcaf055fea4a95cac866b0d657529f43d8b639c28c15821241b3402b4791fa6e,,,,,,,,,,,,,,,
