family,dataset_id,model,selector,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,validation_accuracy_mean,validation_accuracy_std,best_epoch_mean,best_epoch_std,development_feature_selection_seconds_mean,development_feature_selection_seconds_std,final_feature_selection_seconds_mean,final_feature_selection_seconds_std,development_training_seconds_mean,development_training_seconds_std,final_training_seconds_mean,final_training_seconds_std,test_inference_seconds_mean,test_inference_seconds_std
bert,20ng,bert_bilstm_attention,df,5,0.5143504068566181,0.04413986024521839,0.5008591974893372,0.045639370043561125,0.5083048340548341,0.044700118370403955,0.5255684716302862,0.052276397596365695,9.8,6.220932405998316,0.15031683999113737,0.009873943672430188,0.17613739998778327,0.02377809967655778,367.3053298799903,153.04139800530297,273.0804846799932,173.65526827196734,1.60674684002297,0.01911089361359456
bert,20ng,bert_bilstm_attention,dfs,5,0.6311855215162104,0.03906112098497345,0.6261254728039692,0.03935417213125412,0.6296605339105339,0.03882708921616075,0.6259040947974148,0.051432114169191696,8.6,2.4083189157584592,0.200400939991232,0.021161419025425527,0.22393748000031338,0.025737108769879263,205.07707965999143,32.52666065625598,144.7224657399929,43.68224535522309,0.8859163400018588,0.052591823345498556
bert,20ng,bert_bilstm_attention,ig,5,0.6029525291431778,0.026668066271986462,0.598492890155246,0.02572452383252829,0.6003279220779221,0.023438280633254704,0.6037825473518394,0.06042745363608868,9.8,3.420526275297414,0.2582535200053826,0.012263833186108623,0.28485345997614786,0.013350409045537668,355.23522202001186,79.35512939965545,262.5186746999854,90.31143083631049,1.5467478799982928,0.06719304734033392
bert,20ng,bert_bilstm_attention,none,5,0.6916463280871362,0.04497210530416516,0.6899920068360942,0.03911113358408912,0.6883852813852813,0.043857307596145034,0.7245887490154689,0.04835486349928103,11.4,1.949358868961793,0.014346820011269301,0.002246874261011211,0.01276565999723971,0.0004888804525213009,421.1687137000263,49.52102317919255,329.15248888001076,55.82023783533467,1.6335259400075302,0.04040834785610245
bert,20ng,bert_cls,df,5,0.5070816264061424,0.041852772741635104,0.5000849993064937,0.04416977140512778,0.5024191919191919,0.04535620312255829,0.5050411646623012,0.03711440953235688,18.2,4.381780460041329,0.15031683999113737,0.009873943672430188,0.17613739998778327,0.02377809967655778,471.63416027999483,85.84765817085655,416.41707745998866,100.38461650050951,1.3544462600140832,0.06055629274043998
bert,20ng,bert_cls,dfs,5,0.6059168941152463,0.03734400142782017,0.6063452639674495,0.03784974361256338,0.6057709235209235,0.03645598657559281,0.6054634630905817,0.05768704134144752,14.8,3.5637059362410923,0.200400939991232,0.021161419025425527,0.22393748000031338,0.025737108769879263,247.34802546002902,42.32210355834892,205.1676543000038,48.92541726144118,0.7149481399916112,0.03851287157917898
bert,20ng,bert_cls,ig,5,0.6078508022345228,0.01701250823494694,0.6002668159817577,0.02024935831656694,0.6057647907647907,0.018356308431937866,0.5987270179692912,0.05450722137933035,14.6,5.594640292279746,0.2582535200053826,0.012263833186108623,0.28485345997614786,0.013350409045537668,388.6697801399976,108.09503624111085,322.4023655399913,121.93750806046467,1.3610396000090987,0.028494335301110223
bert,20ng,bert_cls,none,5,0.6905447542279928,0.031588268899399384,0.6856500382996951,0.028746096404096106,0.6885948773448773,0.02921273115256973,0.6888221781541821,0.04062977904114093,11.8,3.1144823004794873,0.014346820011269301,0.002246874261011211,0.01276565999723971,0.0004888804525213009,355.18648585998454,67.12406387518327,279.959252559999,73.9748039997896,1.3785782599938101,0.04949757417513458
bert,20ng,bert_cnn,df,5,0.5071576154886106,0.04051454701922956,0.491286474598185,0.038658343821148314,0.5048823953823953,0.03678066388062061,0.5374620947901108,0.038358909908273967,11.0,3.9370039370059056,0.15031683999113737,0.009873943672430188,0.17613739998778327,0.02377809967655778,340.68043273999353,83.0376415086486,261.4895297800191,94.27718633553273,1.420518000004813,0.01874613039153036
bert,20ng,bert_cnn,dfs,5,0.6190688722801826,0.025802189120018488,0.616501419848688,0.022607186127980534,0.6178921356421356,0.027016626809007148,0.629279438850725,0.06141226348505657,9.4,3.5777087639996634,0.200400939991232,0.021161419025425527,0.22393748000031338,0.025737108769879263,192.10841415999457,46.276153725214485,138.29240163998912,50.533740968411486,0.7478573000058532,0.0473240553088182
