selector,dataset_model_cells,mean_test_accuracy,mean_accuracy_delta_vs_none,median_accuracy_delta_vs_none,cell_wins,cell_ties,cell_losses
none,176,0.7159477159119451,0.0,0.0,0,0,0
df,176,0.697830902685162,-0.018116813226782984,-0.01200000000000001,62,0,114
dfs,176,0.7218151557026189,0.005867439790673817,0.0016565249050854102,91,0,85
ig,176,0.7129771302131334,-0.0029705856988116964,-0.0030252763894854985,80,0,96
