family,dataset_id,model,selector,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,ag_news,random_lstm,df,5,0.05393059826495663,0.040231121143708776,5,0,0
classic,ag_news,random_lstm,dfs,5,0.09695099877496938,0.030327825502747874,5,0,0
classic,ag_news,random_lstm,ig,5,0.06903587589689741,0.060637625866954675,4,0,1
classic,ag_news,random_wa,df,5,-0.045930548263706614,0.026577985991209172,0,0,5
classic,ag_news,random_wa,dfs,5,-0.001985324633115848,0.033244205603912405,2,0,3
classic,ag_news,random_wa,ig,5,-0.00998034950873774,0.03274202642122384,2,0,3
bert,amazon_cells,bert_bilstm_attention,df,5,-0.06965247196862126,0.019878553673579765,0,0,5
bert,amazon_cells,bert_bilstm_attention,dfs,5,-0.09378307215717621,0.04242657313209182,0,0,5
bert,amazon_cells,bert_bilstm_attention,ig,5,-0.09384936784625586,0.02652492589195773,0,0,5
bert,amazon_cells,bert_cls,df,5,-0.0665558217174165,0.03362850928472533,0,0,5
bert,amazon_cells,bert_cls,dfs,5,-0.08679404302443357,0.03900353940148793,0,0,5
bert,amazon_cells,bert_cls,ig,5,-0.08069252069711219,0.03251302815826796,0,0,5
bert,amazon_cells,bert_cnn,df,5,-0.08183013720089964,0.015858160674598498,0,0,5
bert,amazon_cells,bert_cnn,dfs,5,-0.10301200923347184,0.01138652084524363,0,0,5
bert,amazon_cells,bert_cnn,ig,5,-0.10803708332979052,0.016261207547201284,0,0,5
bert,amazon_cells,bert_mean,df,5,-0.06862206742062878,0.024881980387031412,0,0,5
bert,amazon_cells,bert_mean,dfs,5,-0.09290053817258373,0.02471759405509528,0,0,5
bert,amazon_cells,bert_mean,ig,5,-0.09292602065859216,0.011578405770890202,0,0,5
classic,amazon_cells,fasttext_cnn,df,5,-0.005035225865264392,0.010101100087739723,1,2,2
classic,amazon_cells,fasttext_cnn,dfs,5,-0.013136749738540421,0.021106140209631953,1,1,3
classic,amazon_cells,fasttext_cnn,ig,5,-0.0030762436496691637,0.02311782923224607,3,0,2
classic,amazon_cells,fasttext_lstm,df,5,-0.007091422863175034,0.019126673276497135,1,0,4
classic,amazon_cells,fasttext_lstm,dfs,5,0.005938217983214566,0.0326313763242489,3,0,2
classic,amazon_cells,fasttext_lstm,ig,5,-0.003147924414154035,0.04013301973906009,3,0,2
gcn,amazon_cells,fasttext_residual_word_gcn,df,5,-0.0009489327373162881,0.032111891514027276,3,1,1
gcn,amazon_cells,fasttext_residual_word_gcn,dfs,5,0.02725299058487849,0.020899876059923744,5,0,0
gcn,amazon_cells,fasttext_residual_word_gcn,ig,5,0.02821212662296253,0.02717692662528045,4,1,0
classic,amazon_cells,fasttext_wa,df,5,-0.007075937550646149,0.00763283883073247,1,0,4
classic,amazon_cells,fasttext_wa,dfs,5,-0.011085834752390866,0.013034030210594742,1,0,4
classic,amazon_cells,fasttext_wa,ig,5,-0.010035023602862814,0.024892346534143503,1,2,2
classic,amazon_cells,random_cnn,df,5,0.007116699221895284,0.026940751543756587,3,0,2
classic,amazon_cells,random_cnn,dfs,5,0.005984261666224744,0.029787584959801026,3,0,2
classic,amazon_cells,random_cnn,ig,5,-0.001071217751063691,0.029429095101637805,1,0,4
