family,dataset_id,model,selector,feature_count,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,20ng,fasttext_cnn,ig,1000,5,-0.0008624850139019813,0.029323155274037328,2,0,3
classic,20ng,fasttext_cnn,ig,1500,5,-0.008978981200418323,0.05878942292100773,2,0,3
classic,20ng,fasttext_cnn,ig,2000,5,0.0071017269086549595,0.021895989352053197,4,0,1
classic,20ng,fasttext_lstm,df,500,5,-0.030395479937759866,0.030619870731208903,1,0,4
classic,20ng,fasttext_lstm,df,1000,5,0.012005484274162698,0.04442907890774995,3,0,2
classic,20ng,fasttext_lstm,df,1500,5,0.006832181210621635,0.05814933309158095,2,0,3
classic,20ng,fasttext_lstm,df,2000,5,0.026111164961865156,0.020986934418817205,5,0,0
classic,20ng,fasttext_lstm,dfs,500,5,0.30335382496237534,0.035304359436239066,5,0,0
classic,20ng,fasttext_lstm,dfs,1000,5,0.3114101726908655,0.027923687022917497,5,0,0
classic,20ng,fasttext_lstm,dfs,1500,5,0.2700297681299901,0.026059026041020908,5,0,0
classic,20ng,fasttext_lstm,dfs,2000,5,0.29427890722648775,0.041627273844079486,5,0,0
classic,20ng,fasttext_lstm,ig,500,5,0.099647654516236,0.044008994319389136,5,0,0
classic,20ng,fasttext_lstm,ig,1000,5,0.058227508098869986,0.07466796402344918,3,0,2
classic,20ng,fasttext_lstm,ig,1500,5,0.03625339897456827,0.045377499677704235,4,0,1
classic,20ng,fasttext_lstm,ig,2000,5,0.028045073081141753,0.04648022763615443,3,0,2
classic,20ng,fasttext_wa,df,500,5,-0.2753600744840956,0.03880533201399973,0,0,5
classic,20ng,fasttext_wa,df,1000,5,-0.17029059000586688,0.03638862100898414,0,0,5
classic,20ng,fasttext_wa,df,1500,5,-0.1319916588016223,0.03187045920597417,0,0,5
classic,20ng,fasttext_wa,df,2000,5,-0.10690623166594394,0.04086468748337881,0,0,5
classic,20ng,fasttext_wa,dfs,500,5,-0.04130334413182666,0.0509578408680999,1,0,4
classic,20ng,fasttext_wa,dfs,1000,5,-0.015182128918705207,0.04618235563256173,2,0,3
classic,20ng,fasttext_wa,dfs,1500,5,-0.012070198709282453,0.03425110889496235,2,0,3
classic,20ng,fasttext_wa,dfs,2000,5,-0.009070351758793938,0.03173008548649585,2,0,3
classic,20ng,fasttext_wa,ig,500,5,-0.11084501186133715,0.024996509051510518,0,0,5
